,rpersona,reduca
736,0051810391102,7.0
737,0051810581101,11.0
738,0051810581102,11.0
739,0051810581103,0.0
740,0051810581104,9.0
741,0051810581105,9.0
742,0051810901101,0.0
743,0051810901102,14.0
744,0051810901103,16.0
745,0051811071101,2.0
746,0051811071102,9.0
747,0051811071103,0.0
748,0051811391101,18.0
749,0051811391102,13.0
750,0051840061101,0.0
751,0051840061102,14.0
752,0051840191101,14.0
753,0051840191102,16.0
754,0051840191103,16.0
755,0051840191104,13.0
756,0051840421101,14.0
757,0051840421102,11.0
758,0051840521101,17.0
759,0051840521102,12.0
760,0051840641101,14.0
761,0051840871101,17.0
762,0051840981101,12.0
763,0051840981102,16.0
764,0051850161101,11.0
765,0051850161102,14.0
766,0051850161103,16.0
767,0051850301101,14.0
768,0051850301102,16.0
769,0051850301103,15.0
770,0051850411101,0.0
771,0051850781101,16.0
772,0051850781102,11.0
773,0051850781103,0.0
774,0051850781105,11.0
775,0051850781106,8.0
776,0051850781108,11.0
777,0051850781109,15.0
778,0051850781110,
779,0051851021101,16.0
780,0051851021102,14.0
781,0051860051101,16.0
782,0051860051102,16.0
783,0051860161101,16.0
784,0051860161102,16.0
785,0051860281101,11.0
786,0051860281102,11.0
787,0051860281103,8.0
788,0051860281104,8.0
789,0051860281105,11.0
790,0051860381101,14.0
791,0051860381102,16.0
792,0051860381103,16.0
793,0051860381104,15.0
794,0051860381105,7.0
795,0051860381106,1.0
796,0051860501101,5.0
797,0051860501102,16.0
798,0051860501103,10.0
799,0051860621201,14.0
800,0051860621202,16.0
801,0051860622201,11.0
802,0051860622202,14.0
803,0051860731101,11.0
804,0051860731102,11.0
805,0051860731103,14.0
806,0051860731104,11.0
807,0051860731105,3.0
808,0051860731106,11.0
809,0051860951101,11.0
810,0051870121101,8.0
811,0051870121102,11.0
812,0051870121103,9.0
813,0051870121104,13.0
814,0051870391101,14.0
815,0051870521101,17.0
816,0051870521102,14.0
817,0051870521103,12.0
818,0051870521104,5.0
819,0051870781101,11.0
820,0051870781102,11.0
821,0051870931201,16.0
822,0051870931202,16.0
823,0051870931203,15.0
824,0051870932201,13.0
825,0051870932202,7.0
826,0051870932203,0.0
827,0051870932204,1.0
828,0051871171101,2.0
829,0051871171102,1.0
830,0051871171103,1.0
831,0051871171104,
832,0051900011101,0.0
833,0051900011102,11.0
834,0051900011103,0.0
835,0051900191101,11.0
836,0051900191102,0.0
837,0051900371101,
838,0051900371102,3.0
839,0051900371103,7.0
840,0051900371104,1.0
841,0051900551101,9.0
842,0051900551102,9.0
843,0051900551103,8.0
844,0051900551104,0.0
845,0051900551106,11.0
846,0051900551107,11.0
847,0051900551108,10.0
848,0051900551109,0.0
